model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__random.pth,random_4_operations_geo,train,1,0.3939175963401794,0.8228012084960937,2022-01-08 00:48:34.240324,[None]
ORCA_512x512__Size-512x512_Epoch-1_Images-100_Batch-1__random.pth,random_4_operations_geo,test,1,0.36211905151605606,0.8289807891845703,2022-01-08 00:48:34.240372,[None]
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__random.pth,random_4_operations_geo,train,2,0.355179912596941,0.8389501953125,2022-01-10 11:47:25.823071,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-2_Images-100_Batch-1__random.pth,random_4_operations_geo,test,2,0.37081110417842866,0.8314200210571289,2022-01-10 11:47:25.823127,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__random.pth,random_4_operations_geo,train,3,0.34500934287905693,0.8452471923828125,2022-01-10 11:50:24.830193,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-3_Images-100_Batch-1__random.pth,random_4_operations_geo,test,3,0.36351715415716174,0.8304103088378906,2022-01-10 11:50:24.830246,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__random.pth,random_4_operations_geo,train,4,0.3329251524806023,0.852536735534668,2022-01-10 11:53:23.706235,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-4_Images-100_Batch-1__random.pth,random_4_operations_geo,test,4,0.3489826655387878,0.838642349243164,2022-01-10 11:53:23.706288,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__random.pth,random_4_operations_geo,train,5,0.3239261110126972,0.8585041046142579,2022-01-10 11:56:22.670540,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-5_Images-100_Batch-1__random.pth,random_4_operations_geo,test,5,0.3461124284565449,0.8403517150878906,2022-01-10 11:56:22.670593,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__random.pth,random_4_operations_geo,train,6,0.317351266592741,0.8636305618286133,2022-01-10 11:59:21.681780,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-6_Images-100_Batch-1__random.pth,random_4_operations_geo,test,6,0.3412902131676674,0.8425691604614258,2022-01-10 11:59:21.681835,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__random.pth,random_4_operations_geo,train,7,0.3119602635502815,0.8648039627075196,2022-01-10 12:02:21.300269,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-7_Images-100_Batch-1__random.pth,random_4_operations_geo,test,7,0.35049334183335307,0.8361307907104493,2022-01-10 12:02:21.300325,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__random.pth,random_4_operations_geo,train,8,0.3093452833592892,0.8667552947998047,2022-01-10 12:05:21.415726,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-8_Images-100_Batch-1__random.pth,random_4_operations_geo,test,8,0.3477222396433353,0.8358303070068359,2022-01-10 12:05:21.415780,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-9_Images-100_Batch-1__random.pth,random_4_operations_geo,train,9,0.30472077935934067,0.8678845596313477,2022-01-10 12:08:20.974564,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-9_Images-100_Batch-1__random.pth,random_4_operations_geo,test,9,0.3369466358423233,0.8430728530883789,2022-01-10 12:08:20.974619,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random.pth,random_4_operations_geo,train,10,0.3025398552417755,0.8684409713745117,2022-01-10 12:11:20.263444,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-10_Images-100_Batch-1__random.pth,random_4_operations_geo,test,10,0.33203316673636435,0.8470201110839843,2022-01-10 12:11:20.263500,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-11_Images-100_Batch-1__random.pth,random_4_operations_geo,train,11,0.3026955536007881,0.8676140975952148,2022-01-10 12:14:19.383047,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-11_Images-100_Batch-1__random.pth,random_4_operations_geo,test,11,0.33602544382214544,0.8454436874389648,2022-01-10 12:14:19.383101,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-12_Images-100_Batch-1__random.pth,random_4_operations_geo,train,12,0.2975693230330944,0.8706286239624024,2022-01-10 12:17:18.597383,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-12_Images-100_Batch-1__random.pth,random_4_operations_geo,test,12,0.33593434616923334,0.8458854675292968,2022-01-10 12:17:18.597438,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-13_Images-100_Batch-1__random.pth,random_4_operations_geo,train,13,0.29486429870128633,0.8709301376342773,2022-01-10 12:20:17.901912,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-13_Images-100_Batch-1__random.pth,random_4_operations_geo,test,13,0.32806106060743334,0.8487615585327148,2022-01-10 12:20:17.901967,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-14_Images-100_Batch-1__random.pth,random_4_operations_geo,train,14,0.29040306344628336,0.8735540008544922,2022-01-10 12:23:16.903112,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-14_Images-100_Batch-1__random.pth,random_4_operations_geo,test,14,0.32424046769738196,0.8506412887573243,2022-01-10 12:23:16.903169,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
ORCA_512x512__Size-512x512_Epoch-15_Images-100_Batch-1__random.pth,random_4_operations_geo,train,15,0.28392410293221476,0.8764095306396484,2022-01-10 12:26:16.232898,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose']
