model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,1,0.4036996066525933,0.8318505307152158,2021-08-01 12:05:30.888118,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-1_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,1,0.5426515307277441,0.851740247938368,2021-08-01 12:05:30.888174,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,2,0.4473408995196223,0.8079243600027899,2021-12-08 17:40:17.586854,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-2_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,2,0.45268706211613285,0.851740247938368,2021-12-08 17:40:17.586899,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,3,0.4419521811329538,0.8121975068591893,2021-12-08 17:58:58.857134,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-3_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,3,0.5195826081352102,0.851740247938368,2021-12-08 17:58:58.857173,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,4,0.4633744186278255,0.8073000226702006,2021-12-08 18:17:39.924441,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-4_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,4,0.44866173931707937,0.851740247938368,2021-12-08 18:17:39.924498,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,5,0.45741637461774404,0.8091902291434147,2021-12-08 18:36:22.312651,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-5_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,5,0.42857756213181547,0.851740247938368,2021-12-08 18:36:22.312682,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,6,0.4624418682906599,0.8073198300316212,2021-12-08 18:55:04.516257,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-6_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,6,0.4292723681777716,0.851740247938368,2021-12-08 18:55:04.516302,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,7,0.44715160514627184,0.8013042631603423,2021-12-08 19:13:46.376513,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-7_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,7,0.4244492578009764,0.851740247938368,2021-12-08 19:13:46.376558,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,8,0.4441163313175951,0.8063292904808409,2021-12-08 19:32:29.018933,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-8_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,8,0.42729086625493234,0.851740247938368,2021-12-08 19:32:29.018993,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,9,0.4405633593111166,0.8066569359188989,2021-12-08 19:51:10.623899,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-9_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,9,0.45369242682225175,0.851740247938368,2021-12-08 19:51:10.623944,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,10,0.4437914042245774,0.806506091889881,2021-12-08 20:09:52.971535,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-10_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,10,0.41935148044592807,0.851740247938368,2021-12-08 20:09:52.971565,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,11,0.43173457326456194,0.8064379388718378,2021-12-08 20:28:35.211642,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,11,0.42106744738088714,0.851740247938368,2021-12-08 20:28:35.211692,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,12,0.43193036394548556,0.8067774483816964,2021-12-08 20:47:16.860730,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,12,0.4485404513776302,0.851740247938368,2021-12-08 20:47:16.860803,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,13,0.4351389730659624,0.805058186848958,2021-12-08 21:05:58.797161,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,13,0.4225575173894564,0.851740247938368,2021-12-08 21:05:58.797221,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,14,0.42629218653642703,0.8058042370024183,2021-12-08 21:24:40.869046,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,14,0.42812370490282775,0.851740247938368,2021-12-08 21:24:40.869105,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,15,0.42525060654041313,0.8070283435639881,2021-12-08 21:43:22.372041,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,15,0.5645180674476756,0.851740247938368,2021-12-08 21:43:22.372085,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,16,0.43299868345881504,0.8073287179129462,2021-12-08 22:02:04.071214,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,16,0.41195061397221355,0.851740247938368,2021-12-08 22:02:04.071244,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,17,0.4222748879210225,0.8061596563430061,2021-12-08 22:20:45.882719,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,17,0.40969128056118886,0.851740247938368,2021-12-08 22:20:45.882758,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,18,0.4149770426076083,0.8067318696521577,2021-12-08 22:39:27.048782,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,18,0.4119619131088257,0.851740247938368,2021-12-08 22:39:27.048854,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,19,0.41225247399083204,0.8068926507859,2021-12-08 22:58:08.653029,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,19,0.40715914227896266,0.851740247938368,2021-12-08 22:58:08.653086,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,20,0.40488069972821644,0.8073141159784228,2021-12-08 23:16:50.134305,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,20,0.3971030565806561,0.851740247938368,2021-12-08 23:16:50.134378,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,21,0.3940152628702067,0.8079795735677086,2021-12-08 23:35:30.706085,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,21,0.3948639499851399,0.851740247938368,2021-12-08 23:35:30.706116,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,22,0.39310640863896834,0.8069724731445311,2021-12-08 23:54:11.434468,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,22,0.3949722091253433,0.851740247938368,2021-12-08 23:54:11.434500,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,23,0.3840379954360071,0.8068693527948292,2021-12-09 00:12:52.605544,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,23,0.37932440559897157,0.851740247938368,2021-12-09 00:12:52.605575,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,24,0.38335106937392127,0.8067468261718751,2021-12-09 00:31:33.572563,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,24,0.3893654502203895,0.851740247938368,2021-12-09 00:31:33.572628,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,25,0.3733152627745377,0.8090623401460196,2021-12-09 00:50:14.694907,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,25,0.40300208958279754,0.851740247938368,2021-12-09 00:50:14.694952,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,26,0.37045440899341237,0.8060165143694196,2021-12-09 01:08:55.686765,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,26,0.39184317084857156,0.851740247938368,2021-12-09 01:08:55.686835,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,27,0.36886850354660833,0.8114534040178569,2021-12-09 01:27:36.728179,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,27,0.3770977676742607,0.851740247938368,2021-12-09 01:27:36.728210,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,28,0.3581538225235861,0.8301982160295761,2021-12-09 01:46:18.163734,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,28,0.38478597461556396,0.8517133653428818,2021-12-09 01:46:18.163786,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,29,0.35755158449700547,0.8368467000325516,2021-12-09 02:04:58.482562,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,29,0.36076325592067504,0.8518946668836804,2021-12-09 02:04:58.482608,[None 'grid_distortion' 'optical_distortion']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,30,0.3582778306323148,0.8365254022507442,2021-12-09 02:23:39.005611,[None 'grid_distortion' 'optical_distortion']
